starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 05 18:46:22 2012	1346863582	0	40	40	40
Wed Sep 05 18:46:22 2012	1346863582	0	40	40	40
Wed Sep 05 18:46:22 2012	1346863582	0	40	41	40
Wed Sep 05 18:46:22 2012	1346863582	0	40	41	40
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	40
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	40
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:23 2012	1346863583	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	41	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	42	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	42	41
Wed Sep 05 18:46:22 2012	1346863582	0	41	42	41
Wed Sep 05 18:46:22 2012	1346863582	1	41	42	41
Wed Sep 05 18:46:22 2012	1346863582	2	41	43	41
