starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:31 2012	1346861671	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:31 2012	1346861671	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:31 2012	1346861671	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:31 2012	1346861671	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:31 2012	1346861671	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:31 2012	1346861671	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:31 2012	1346861671	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:31 2012	1346861671	0	41	41	41
Wed Sep 05 18:14:32 2012	1346861672	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:35 2012	1346861675	0	41	41	41
Wed Sep 05 18:14:33 2012	1346861673	0	41	41	41
Wed Sep 05 18:14:34 2012	1346861674	0	41	41	41
Wed Sep 05 18:14:31 2012	1346861671	0	41	42	41
Wed Sep 05 18:14:33 2012	1346861673	0	42	42	42
