starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 05 18:36:00 2012	1346862960	0	41	41	40
Wed Sep 05 18:36:00 2012	1346862960	0	82	82	81
Wed Sep 05 18:36:00 2012	1346862960	0	123	123	123
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	163
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:01 2012	1346862961	0	164	164	164
Wed Sep 05 18:36:00 2012	1346862960	0	164	164	164
Wed Sep 05 18:36:03 2012	1346862963	0	164	164	164
Wed Sep 05 18:36:02 2012	1346862962	0	164	164	164
